gene	cortex	cerebellum
Gtpbp1	5.03489739960138	4.38420818287652
Phyhipl	5.03519477745755	4.72724254098063
Mon2	5.03559616533155	3.72550810030783
Vcpip1	5.0368360217345	4.77081016444303
Arrb1	5.04015073193167	7.16011725661773
Itgb1	5.04584449972576	6.48585707817003
Adgrl1	5.04886101229592	NA
Akt3	5.05694131389318	NA
Pcbp3	5.06729257365734	7.3230012167579
Dctn4	5.07003287820384	5.70455106801961
Iqsec1	5.07058571539263	5.13030255846493
Bcap31	5.07101786540585	6.52603441879232
Pitpnm2	5.07359334862045	NA
Tecr	5.07995887099057	4.81657535079486
Tbca	5.08550937033265	6.22378295587197
Reep2	5.08658685103242	3.96575713421795
Ube3a	5.092154668726	3.75616389710267
Sart3	5.09263547406562	7.55591193317485
Tsc2	5.09519332607462	NA
Paics	5.09825093503653	4.90183971303202
Eif3l	5.10451843111077	5.94400547117769
Fyn	5.1165915468503	NA
Pcbp2	5.11828463355341	6.79899698328491
Prrc2a	5.12050765305072	NA
Rad23b	5.12054421370084	4.66156524148261
Taok1	5.12743202407323	4.22884114907018
Ppp1r2	5.12917524934067	4.49966796018147
Hspa5	5.14194775567779	5.30125941519134
Setd7	5.14219798562423	4.84475892244974
Cyb5a	5.14435302229732	5.39185313518637
Sf3a3	5.14772493272197	7.67981008257032
Osbpl11	5.15380098967197	6.94494524946887
Fth1	5.15884631798664	5.32908256972375
Camk4	5.1598733806054	5.55424725905496
Sars	5.16141741263113	5.43767149683147
Ncs1	5.16458072847218	6.9913590565102
Vps39	5.17213817180763	NA
Pde1a	5.17332065160185	NA
Tpt1	5.17386484245387	5.02323124469423
Ndrg2	5.17642539852213	4.8188110742455
Set	5.18156173594308	7.04079343321015
Iars	5.18734262824201	5.42893648822089
Itpr1	5.18917290593022	6.86503811115552
Calcoco1	5.19479070726438	NA
Cdh11	5.19492336127094	NA
Osbpl6	5.20155103133114	5.10995764819323
Tgm2	5.20625638063256	5.65459154587813
Map4	5.20781245476623	5.3354789406328
Nceh1	5.21067604731282	6.37030820420658
Ppm1a	5.21085679230551	6.52127339637144
Eif5a	5.2194589002792	5.93727436330999
Cpped1	5.22209489842032	7.19212829396426
Cpne6	5.23337101905856	6.77779319101731
Lrrc59	5.24149299287887	6.15195299921118
Hnrnpul2	5.24198802494981	8.48481313554185
Pdap1	5.24376320574919	5.08804934190649
Slc25a31	5.24750718839488	6.8463477823031
Iqgap1	5.24827488618994	3.65370235177439
Alg2	5.25364259338999	5.80493746834201
Adgrl3	5.25880897605783	5.69628438213264
Nudc	5.26003480760237	4.86636254726275
Map1a	5.2638409374835	4.7088397854798
Psmd2	5.26410366026311	4.85222246383228
Soga3	5.26422185921608	5.57863277100718
Trove2	5.2680012688437	3.22261399257228
Erh	5.26829854165294	12.8594787185942
Copg2	5.27360840492238	6.3126321606555
Dync1i1	5.27540607513377	7.0058818200852
Stx12	5.2901333185763	4.81434723986945
Tom1l2	5.29170928121359	4.78927579337863
Atl1	5.30218622245393	5.74521798692532
Rpn1	5.30307502655475	5.4153742995058
Ufc1	5.30384437330827	5.33107384430341
Hsph1	5.30458815779149	5.14562740921082
Yars	5.30681505267269	5.64326456203697
Bcr	5.30687362879747	4.43816539158822
Trap1	5.31492392865103	4.77229574663041
Nudt16l1	5.31832209994674	3.61023178397534
Chmp7	5.32451951279448	5.10277730978175
Wbp2	5.32576678335996	4.65111038361805
Diras1	5.32778027180858	4.67085849818228
Camsap2	5.3482371940144	4.60358380942188
Hnrnpu	5.34854624434037	10.6431590961937
Psmc2	5.3502683707087	5.05576622219303
Psmc1	5.35044898923145	5.01088765178568
Nrxn1	5.35237419505919	5.58468180777295
Slc2a1	5.35844105153497	9.63780747045372
Tcerg1	5.36724397470211	9.1809275794757
Gapvd1	5.3691952954739	3.83598147729562
Tnks1bp1	5.36939947903618	NA
Dctn6	5.37337154580484	5.65804213712674
Fasn	5.37907411183008	5.19221191823753
Dgkg	5.38080201469052	6.05753158557056
Psip1	5.38164253698683	10.2938931158703
Cdh10	5.38217088505854	NA
Naca	5.38735526346881	4.98050236934446
U2af1	5.38823305297366	9.62576639423956
Nars	5.39427868862903	5.71777256251981
Bcam	5.39469907429559	NA
Psme2	5.39605939285878	8.72673436168294
Grin2a	5.39704024194159	NA
Eloc	5.40758122790765	6.16281672025232
Pde1b	5.4076955530552	NA
Sarnp	5.40859919092969	10.1954385018678
Dync1h1	5.41831941807974	6.43709350093941
Sgta	5.41882380579874	4.83014165267214
Tnpo2	5.42727399055576	5.57666706196894
Camk1	5.42936150237005	5.06743448480582
Gspt1	5.43610427665328	4.84462666442245
Arfgef2	5.44517237274879	5.38140893844255
Mtdh	5.4541773101359	6.52268449461017
Sgsm1	5.45468300463674	7.07513809939089
Mapk1	5.45551732369018	6.53866139617955
Erp44	5.45801332002167	6.25327026331318
Dctn1	5.46082673398344	5.79757850433507
Mtor	5.46698007995528	5.46849737652178
Psmc6	5.47531127829924	5.17526375224705
Hnrnpab	5.47654701898529	10.4660933004832
Hsp90aa1	5.47692934525463	5.97295478390407
Reep5	5.47933341794652	6.16812371470643
Dctn2	5.48763375347304	6.16963005003919
Dync1li1	5.48843943606262	6.05673581293432
Dhx9	5.49349521791722	8.50186688521988
Agap3	5.50139647771662	5.68172494309136
Rheb	5.50759755739238	4.6555810981155
Dcaf7	5.51946302783811	3.0854929648993
Tbcb	5.52551068037647	5.68333194036206
Dlg3	5.52895767535	7.07385059954709
Eif2s3x	5.52912036616944	5.13512979326616
Pcyox1	5.53413962126517	6.81484577907239
Dgkz	5.53547828557833	6.05683706951207
Napa	5.53679452431799	5.14412619521457
Atl2	5.54001117534261	6.78228534223628
Hnrnpk	5.54666178917992	8.49796436812078
Rasgrf2	5.54921131589368	NA
Astn1	5.55318728534204	NA
Mtpn	5.55989563780228	6.5603448731208
Khdrbs1	5.56036935075524	5.38979165087091
Rpn2	5.56081906226198	5.2209993666274
Dctn3	5.5638638349787	6.36624133064013
Magoh	5.56708351264336	9.95306641269708
Cdc37	5.56825652698068	5.61082235430862
Psmd1	5.57656809768068	5.64613271871155
Pex5l	5.57777299133765	6.79734077159612
Arpin	5.57881557871369	8.37789455190895
Hyou1	5.5879404573673	5.97919219078581
Diras2	5.59253601035647	3.3509532546734
Prkce	5.59429838566999	6.17707314929752
Spire1	5.59677977642086	NA
Wipf3	5.60022360532716	NA
Strn4	5.60740228098954	3.85331006086706
Hnrnph1	5.60831695218105	7.2997678963653
Ctsd	5.61127718951746	4.62330527740489
Usp24	5.61677220630953	5.08973342524067
Lancl1	5.62710347252053	5.91314516260318
Manf	5.63541659585111	6.7576841086026
Dnajb6	5.64384739358965	5.52392600901675
Tmed10	5.64860765492317	5.92125071136801
Snap29	5.64968104156196	NA
Dctn5	5.65321778920006	5.86879955354582
Vps52	5.6555725432083	6.62165587865063
Tmx3	5.66143295301295	5.80947890076323
Psmc3	5.66380298977021	6.00792898781325
Sacm1l	5.66482552728838	6.69684520494729
